No.,Name,Kanji,Poblacion,Density(/km2),Area(km2),MajorDistricts
1,Chiyoda,千代田区,59441.0,5100.0,11.66,"Nagatachō, Kasumigaseki, Ōtemachi, Marunouchi, Akihabara, Yūrakuchō, Iidabashi, Kanda"
2,Chūō,中央区,147620.0,14460.0,10.21,"Nihonbashi, Kayabachō, Ginza, Tsukiji, Hatchōbori, Shinkawa, Tsukishima, Kachidoki, Tsukuda"
3,Minato,港区,248071.0,12180.0,20.37,"Odaiba, Shinbashi, Hamamatsuchō, Mita, Roppongi, Toranomon, Aoyama, Azabu"
4,Shinjuku,新宿区,339211.0,18620.0,18.22,"Shinjuku, Takadanobaba, Ōkubo, Kagurazaka, Ichigaya, Yotsuya, Sendagaya, Yoyogi"
5,Bunkyō,文京区,223389.0,19790.0,11.29,"Hongō, Yayoi, Hakusan"
6,Taitō,台東区,200486.0,19830.0,10.11,"Ueno, Asakusa"
7,Sumida,墨田区,260358.0,18910.0,13.77,"Kinshichō, Morishita, Ryōgoku"
8,Kōtō,江東区,502579.0,12510.0,40.16,"Kiba, Ariake, Kameido, Tōyōchō, Monzennakachō, Fukagawa, Kiyosumi, Shirakawa, Etchūjima, Sunamachi, Aomi"
9,Shinagawa,品川区,392492.0,17180.0,22.84,"Shinagawa, Gotanda, Ōsaki, Hatanodai, Ōimachi, Tennōzu"
10,Meguro,目黒区,280283.0,19110.0,14.67,"Meguro, Nakameguro, Jiyugaoka, Komaba, Aobadai"
11,OtaŌta,大田区,722608.0,11910.0,60.66,"Ōmori, Kamata, Haneda, Den-en-chōfu"
12,Setagaya,世田谷区,910868.0,15690.0,58.05,"Shimokitazawa, Kinuta, Karasuyama, Tamagawa"
13,Shibuya,渋谷区,227850.0,15080.0,15.11,"Shibuya, Ebisu, Harajuku, Daikanyama, Hiroo"
14,Nakano,中野区,332902.0,21350.0,15.59,Nakano
15,Suginami,杉並区,570483.0,16750.0,34.06,"Kōenji, Asagaya, Ogikubo"
16,Toshima,豊島区,294673.0,22650.0,13.01,"Ikebukuro, Komagome, Senkawa, Sugamo"
17,Kita,北区,345063.0,16740.0,20.61,"Akabane, Ōji, Tabata"
18,Arakawa,荒川区,213648.0,21030.0,10.16,"Arakawa, Machiya, Nippori, Minamisenju"
19,Itabashi,板橋区,569225.0,17670.0,32.22,"Itabashi, Takashimadaira"
20,Nerima,練馬区,726748.0,15120.0,48.08,"Nerima, Ōizumi, Hikarigaoka"
21,Adachi,足立区,674067.0,12660.0,53.25,"Ayase, Kitasenju, Takenotsuka"
22,Katsushika,葛飾区,447140.0,12850.0,34.8,"Tateishi, Aoto, Kameari, Shibamata"
23,Edogawa,江戸川区,685899.0,13750.0,49.9,"Kasai, Koiwa"
